Country,Year,Rented-in,Rented-out,Purchased,Has certificate
Ethiopia (LSMS),2012,0.130,0.032,-,0.458
,2014,0.117,0.053,-,0.510
,2016,0.111,0.064,0.040,0.555
,2019,0.152,0.068,0.033,0.717
,2022,0.134,0.022,0.035,0.688
Malawi (LSMS),2010,0.073,0.001,0.028,-
,2016,0.080,0.010,0.036,0.010
,2019,0.074,0.006,-,-
Mali (LSMS),2014,0.013,-,0.008,0.041
,2017,0.004,-,0.003,0.031
Niger (LSMS),2011,0.143,0.000,0.082,0.085
,2014,0.024,0.002,0.098,0.041
Nigeria (LSMS),2011,0.090,0.002,0.069,-
,2013,0.101,0.004,0.054,0.090
,2016,0.077,0.004,0.062,0.061
,2019,0.112,0.008,0.131,0.095
,2023,0.093,0.008,0.072,0.086
Tanzania (LSMS),2009,0.062,0.007,-,0.070
,2011,0.042,0.006,-,0.110
,2013,0.038,0.007,-,0.112
,2015,0.063,0.007,0.247,0.143
,2019,0.079,0.014,0.288,0.143
Uganda (LSMS),2009,0.119,0.013,0.265,0.157
,2010,0.126,0.002,0.242,0.105
,2011,0.085,0.006,0.211,0.101
,2013,0.106,0.005,0.242,0.186
,2015,0.139,0.010,0.253,0.151
,2018,0.128,0.012,-,0.091
,2019,0.116,0.013,0.254,0.045
Zambia (RALS),2012,0.013,0.002,0.047,0.070
,2015,0.016,0.003,0.057,0.047
,2019,0.017,0.005,0.068,0.047
